??,??,????,??,????
23-06-2019 5.00,534,1.127,0.514,0
23-06-2019 6.00,535,1.126,0.666,0
23-06-2019 7.00,536,1.126,2.176,13.826
23-06-2019 8.00,537,1.127,2.569,38.734
23-06-2019 9.00,538,1.128,2.561,38.02
23-06-2019 10.00,539,1.131,2.246,16.926
23-06-2019 11.00,540,1.134,1.866,4.932
23-06-2019 12.00,541,1.137,1.805,3.926
23-06-2019 13.00,542,1.141,2.037,9.164
23-06-2019 14.00,543,1.144,2.139,12.364
23-06-2019 15.00,544,1.147,1.937,6.31
23-06-2019 16.00,545,1.151,1.479,0.844
23-06-2019 17.00,546,1.154,1.34,0.385
23-06-2019 18.00,547,1.156,1.871,5.078
23-06-2019 19.00,548,1.159,3.143,107.92
